ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,ent_fac_dp,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,cca_sh_knob,mparwtr,qlmin,gwd_frc,fbcd,gwd_fsat,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,zhloc_depth_fac,par_mezcla,lambda_min_rp,dec_thres_cloud,dec_thres_cu,forced_cu_fac,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,m_ci,ai,x1r,ar,mp_dz_scal,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,param_cloud_hplus,ps_natl_dms_emiss,u10_max_coare,r0,rho_snow_fresh,tupp_io,f0_io,dz0v_dh_io,nl0_io,rootd_ft_io,psm
Parameter,longName,,,,Amplitude of deep entrainment,Amplitude of mid entrainment,Deep mixing detrainment,Adaptive detrainment,CCA scaling (mid),,CCA scaling (shallow),Maximum condensate,Min critical cloud condensate,Critical Froude number,Flow blocking drag coefficient,Inverse critical Froude number for wave saturation,Mountain wave amplitude constant,Scales sub-grid orography st dev,Flux profile parameter,,Orographic form drag coefficient,Entrainment parameter A1,,Threshold fraction of the cloud layer depth,Neutral mixing length,,Decoupling threshold for cloudy Bls,,,Cloud erosion,Fractional Standard Deviation,Decorrelation scale pressure,Ice width,,Ice fall speed multiplication factor,Aggregate mass scaling,Rain PSD shape,Aspect ratio of ice crystal,Mixed-phase turbulent production of supercooled liquid water,Anthropogenic SO2 emission flux,The rate of dry deposition of SO2,The standard deviation used to define the pdf of updraft velocity,BC/OC mass emission flux from biomass burning sources,The emission mass flux of sea spray aerosols,,pH of cloud drops,,,,,,,,,,
Parameter,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per second,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,
Parameter,Explicit resolution dependency,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes. (see LRs excel),,,,,,,,,,,,,
Experiment,,1,1,0,1.13,0.9,3,0.8,0.1,0.1,0.2,0.0015,0.0003,4,4,0.25,0.5,2.5,10,1.0,0.15,0.23,0.85,0.4,0.15,40.0,0.1,0.05,0.5,0.00015,1.5,10000,0.02,0.9,1,0.0257,0.22,1,1,1,1,1,2,1,1,5,1,22,50,109,36,0.875,0.05,0.04,3,1
Experiment,,1,1,605,1.118183712,0.669165316,6.713313103,0.587380265,0.247410155,0.247410155,0.162895789,0.001373448,0.000455788,4.247352071,0.810111004,1.114019673,0.842259144,3.549183654,28.62562041,0.34933740672766783,0.473192613,0.148424889,0.5485267636956521,0.915803275,0.282388687,75.30364986666667,0.027326667,0.0136633335,0.342770663,0.000153329,1.305483891,28572.04086,0.251452704,0.067621236,1.143710245,0.027975943,0.281835483,0.598141118,1.698117509,1.25600123,2.119112379,0.226194256,2.64947274,0.932370797,0.970450162,6.588788204,1.372361341,17.72190504,47.70716784,105.4088997,31.07231475,0.881328033,0.045941854,0.117885503,7.308884882,1.029984067
Experiment,,1,1,834,0.401627817,1.709315866,3.157217598,0.626535091,0.218360454,0.218360454,0.333798819,0.001358197,0.00045711,8.439280237,3.449731888,1.269904544,1.578375443,2.458368567,29.56015939,0.33829316912895036,0.169555288,0.281029146,1.038585974347826,0.550409499,0.197706652,52.72177386666667,0.135718372,0.067859186,0.45787251,0.00041525,1.062986205,12259.41761,0.762504734,0.238615023,1.910416272,0.030964952,0.270845576,0.627071395,2.720470581,1.04067795,0.291249898,0.347789637,3.164843112,0.461111738,0.820588202,5.288593814,1.790262975,18.29326478,55.23213512,91.45904901,29.33880656,0.951819097,0.076533656,0.031481581,4.204187623,1.006608496
Experiment,,1,1,1113,1.622961567,1.344284326,5.428193382,0.859342084,0.162016365,0.162016365,0.14607198,0.001774803,0.000187743,2.806107154,5.124240902,1.254980365,0.419623835,2.776521285,17.59209634,0.5684370871288669,0.126275171,0.141727921,0.523777099347826,0.972345465,0.215392883,57.43810213333333,0.247139409,0.1235697045,0.656926016,0.000373032,1.292991241,9662.935536,0.118047368,0.377063398,0.831090905,0.036359867,0.40270898,0.900801244,1.060804988,1.042274338,0.269470892,0.262229964,1.859518423,0.592462922,1.985362287,5.713794502,1.331107994,20.48366438,51.34580923,112.1759056,35.88770592,0.81608122,0.049513734,0.046751778,6.684560165,1.211635949
Experiment,,1,1,1554,0.792975623,1.381026302,1.309205174,0.568634248,0.197674083,0.197674083,0.15913071,0.001573746,0.000135422,5.293486718,4.993906492,0.279946571,0.756498571,3.116852886,43.92129024,0.22768001452955497,0.629835121,0.201964805,0.7463916706521738,0.631930675,0.433403616,115.57429760000001,0.084801173,0.0424005865,0.709659759,0.000370991,1.20554407,26303.57957,0.053022722,0.472332547,0.902390084,0.041875188,0.22879596,0.040968765,2.189783911,0.799006918,0.342039027,0.657140367,0.725782224,0.737035216,1.381093546,5.660101372,0.686635027,15.4265354,43.76889915,114.9859644,28.76211423,0.867689727,0.068919131,0.060624844,1.504882108,1.225141864
Experiment,,1,1,1649,1.1442681,0.391566142,7.198681341,0.681816638,0.181899042,0.181899042,0.122255193,0.001441752,0.000233436,5.447632453,0.485175658,0.380896988,1.179287134,2.966764175,9.831683535,1.0171198009375308,0.315153421,0.279315187,1.0322517780434783,0.8519549,0.156838444,41.823585066666666,0.145750506,0.072875253,0.602953084,0.000250427,1.921395057,12249.59596,0.7061308,0.075634453,0.428570806,0.048934381,0.202349671,0.533408252,1.549236138,0.92652305,1.628460941,1.296421946,2.404437448,1.501678265,0.972936465,5.135076748,1.664904602,17.03039738,70.36227453,101.0362016,37.62941398,0.700065764,0.112891809,0.028889688,2.084760682,1.266266444
Experiment,,1,1,1843,0.694337116,0.734053347,4.992597207,0.819301279,0.287508751,0.287508751,0.135911355,0.001248121,0.000381373,6.620262672,8.398965982,1.134290045,0.129362629,3.064237751,28.12928024,0.3555014531008135,0.388574727,0.272840478,1.0083235056521738,0.951992202,0.063927789,17.0474104,0.056974774,0.028487387,0.315040584,0.000219722,1.139291182,3097.744958,0.331208405,0.690036912,1.301176071,0.017806139,0.206661403,0.646517042,2.145932553,0.605350901,0.398774545,0.893222487,0.907896759,1.354321987,0.755752642,5.408871842,0.774566102,20.07098743,65.32708491,116.9722294,32.78866224,0.74667499,0.065453596,0.071038837,3.958659921,1.068844472
Experiment,,1,1,1935,0.510299784,1.210891027,12.74313441,0.924647559,0.114585507,0.114585507,0.585115718,0.001152863,0.000116423,6.779477772,3.368510749,0.909980724,0.634429948,2.32024617,13.4925974,0.7411471419135355,0.547352303,0.29013076,1.0722223739130434,0.317218344,0.237410022,63.3093392,0.065814802,0.032907401,0.464202941,0.000382054,1.228758768,5778.642512,0.476999208,0.082231937,1.381114335,0.030616465,0.256401599,0.378569759,1.03535128,1.032358432,0.242879414,0.768828156,2.370617775,1.011500269,1.290642601,5.861451431,1.82097972,16.86260081,55.81108773,112.0945005,27.70526741,0.854540545,0.07270525,0.038278953,0.365071321,1.175810812
Experiment,,1,1,2123,0.664382395,0.633179677,6.950254095,0.846618828,0.168762462,0.168762462,0.079235302,0.00151742,0.000277918,5.120436076,3.485991419,0.674176358,0.959770594,3.193693052,9.586996254,1.0430795772792423,0.595642869,0.235662568,0.8709268817391304,0.871671509,0.110551007,29.480268533333334,0.06345609,0.031728045,0.66463165,0.000179268,1.556077948,4517.203539,0.208737297,0.618673545,0.922102586,0.013126687,0.334053973,0.454491397,3.270551004,0.851559597,1.660863277,0.741512865,2.500959255,0.783331453,1.455039569,5.463027023,1.143040129,20.3719936,52.41615344,122.816819,34.3894148,0.746662126,0.037549996,0.035452494,3.267393242,1.122073845
Experiment,,1,1,2242,0.636620833,0.621855206,9.110474314,0.577480314,0.297068501,0.297068501,0.345762933,0.00131279,0.000234848,5.860103466,2.331419033,0.679367506,0.940922209,3.091301693,4.636492262,2.156802909380117,0.492143605,0.073944064,0.27327154086956523,0.714047713,0.077104289,20.561143733333335,0.027974925,0.0139874625,0.839589631,0.000337282,1.232175177,23402.11686,0.036821838,0.286094091,1.401702375,0.034144269,0.339701566,0.164005607,0.458601576,0.717568767,0.581809596,0.480213453,2.298518765,0.611892792,1.594853113,5.446737606,1.694482566,23.28362458,52.58816519,126.6393535,34.29884478,0.737818877,0.100026331,0.037392798,3.117568065,1.75997857
Experiment,,1,1,2305,1.026864269,1.801745123,2.412737598,0.673921335,0.177172415,0.177172415,0.652649413,0.00119638,0.000102835,5.843398017,1.319014342,0.390188013,0.716450398,2.203763489,15.515183,0.6445299420574028,0.236127574,0.129247936,0.4776554156521739,0.026516863,0.077989011,20.7970696,0.154649905,0.0773249525,0.545873304,0.000116686,1.643740585,8732.325214,0.00986715,0.685643822,1.363338022,0.023692583,0.263608952,0.218792599,0.507063278,1.030429821,1.97489132,0.604298105,1.062310172,1.843655877,1.458355741,6.247331152,1.373311989,17.56594392,44.78407524,87.57707279,29.15643588,0.923748725,0.096660128,0.066247126,0.957872358,1.134295807
Experiment,,1,1,2335,1.099858993,1.817279624,2.013083668,0.642843033,0.222403745,0.222403745,0.475389375,0.001150468,0.000292919,7.177926661,5.113047066,1.412181132,0.41803463,1.878052221,23.9232908,0.41800269384344063,0.280918201,0.180932374,0.6686631213043478,0.529395823,0.118749042,31.666411200000002,0.058204855,0.0291024275,0.509412774,0.000520834,1.349227299,30860.4944,0.14490538,0.422766836,0.521694514,0.036546983,0.289346162,0.107910252,1.791213227,1.153844918,1.225220457,0.386704114,0.928159944,0.619464209,1.006422602,5.74352797,1.572015828,16.49060237,57.58924773,96.16854234,29.29790528,0.765143364,0.104504251,0.05831316,1.419141251,1.60416642
Experiment,,1,1,2491,0.75439428,0.744377901,1.922609113,0.907340304,0.251858129,0.251858129,0.126725297,0.001131829,0.000398622,5.824303971,6.943837579,0.826791467,0.582082982,2.083219186,18.37006054,0.5443640198259249,0.186245841,0.169748066,0.6273298091304348,0.530801217,0.238991539,63.73107706666667,0.100501847,0.0502509235,0.57756648,0.000409834,1.413256913,7600.412848,0.671683845,0.924244854,1.076247869,0.035994065,0.320691161,0.781143094,2.17813013,1.21326885,0.666508534,1.003295335,2.051341178,2.537182405,1.700471272,6.017753188,1.608368809,20.81330118,55.39075851,98.57950204,32.43863866,0.76236189,0.055413996,0.02599829,1.519999004,1.376288056
Experiment,,1,1,2832,1.045090142,0.475713581,12.47762522,0.755528603,0.479862854,0.479862854,0.089420107,0.001836039,0.000372936,1.057691851,5.483396751,0.625833364,1.306131387,1.505260518,14.93442022,0.6695941223488621,0.059887242,0.405991669,1.5004039941304346,0.614092006,0.026162089,6.9765570666666665,0.054310562,0.027155281,0.419411722,0.00088203,1.313900056,12508.97049,0.115196116,0.564679311,0.834722268,0.030032033,0.118836619,0.902925902,0.73017616,0.88783475,1.37803435,1.324543948,2.675770678,1.331403797,1.309751422,5.568117786,1.696637419,19.6674867,54.38704197,103.6722619,37.99575045,0.695014012,0.038908983,0.103547963,0.44783377,1.858233572
Experiment,,1,1,2868,1.169801956,1.030845666,4.528675929,0.705014588,0.364537463,0.364537463,0.220079471,0.001475632,0.000135987,2.326222918,1.879937714,0.250258308,0.022269919,1.587106129,6.171038517,1.6204727895397124,0.18910044,0.126031312,0.465767892173913,0.810383688,0.141228486,37.660929599999996,0.245673968,0.122836984,0.853467793,0.000319703,1.896956882,12799.01559,0.865011661,0.877284713,0.843280836,0.042500854,0.2594245,0.209415132,2.628888023,0.869377575,1.506128537,1.341198643,3.271871983,1.584505068,1.344166546,5.773879197,1.554533208,18.10363819,74.70766329,107.5768105,27.71952453,0.829816943,0.104371927,0.060059227,1.823458579,1.115204391
